 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês processamento e Complexidade
Período:2010-2020
"Ano/mês processamento";"Média complexidade";"Alta complexidade";"Total"
"2010";10795575;562390;11357965
"..Janeiro/2010";877261;42630;919891
"..Fevereiro/2010";841874;41020;882894
"..Março/2010";922687;46112;968799
"..Abril/2010";917821;46658;964479
"..Maio/2010";934140;47575;981715
"..Junho/2010";899784;46071;945855
"..Julho/2010";910699;48028;958727
"..Agosto/2010";916609;49387;965996
"..Setembro/2010";903746;49039;952785
"..Outubro/2010";894559;47773;942332
"..Novembro/2010";896697;48760;945457
"..Dezembro/2010";879698;49337;929035
"2011";10654070;627501;11281571
"..Janeiro/2011";873128;46479;919607
"..Fevereiro/2011";861331;48237;909568
"..Março/2011";906963;50414;957377
"..Abril/2011";908864;50586;959450
"..Maio/2011";901726;53604;955330
"..Junho/2011";892319;51706;944025
"..Julho/2011";914150;55236;969386
"..Agosto/2011";881533;55155;936688
"..Setembro/2011";891435;53988;945423
"..Outubro/2011";882933;54465;937398
"..Novembro/2011";875381;53800;929181
"..Dezembro/2011";864307;53831;918138
"2012";10432003;660586;11092589
"..Janeiro/2012";840109;51215;891324
"..Fevereiro/2012";830434;49475;879909
"..Março/2012";902935;56386;959321
"..Abril/2012";888758;53897;942655
"..Maio/2012";916232;56611;972843
"..Junho/2012";897735;55054;952789
"..Julho/2012";896616;57452;954068
"..Agosto/2012";898102;58289;956391
"..Setembro/2012";869334;56450;925784
"..Outubro/2012";864555;56362;920917
"..Novembro/2012";837721;56509;894230
"..Dezembro/2012";789472;52886;842358
"2013";10470891;726269;11197160
"..Janeiro/2013";832825;52906;885731
"..Fevereiro/2013";806943;51730;858673
"..Março/2013";863754;57689;921443
"..Abril/2013";899828;60529;960357
"..Maio/2013";904017;62599;966616
"..Junho/2013";885092;59840;944932
"..Julho/2013";902989;63205;966194
"..Agosto/2013";909497;64668;974165
"..Setembro/2013";884252;64002;948254
"..Outubro/2013";899267;66495;965762
"..Novembro/2013";860457;62489;922946
"..Dezembro/2013";821970;60117;882087
"2014";10557545;762742;11320287
"..Janeiro/2014";865206;59765;924971
"..Fevereiro/2014";838713;60676;899389
"..Março/2014";853547;59200;912747
"..Abril/2014";862823;60245;923068
"..Maio/2014";913222;63338;976560
"..Junho/2014";874250;61497;935747
"..Julho/2014";911027;65311;976338
"..Agosto/2014";914398;67638;982036
"..Setembro/2014";911464;67834;979298
"..Outubro/2014";907921;69195;977116
"..Novembro/2014";876596;66939;943535
"..Dezembro/2014";828378;61104;889482
"2015";10600712;777004;11377716
"..Janeiro/2015";851450;58989;910439
"..Fevereiro/2015";824197;58736;882933
"..Março/2015";903234;64753;967987
"..Abril/2015";904691;63221;967912
"..Maio/2015";918625;65119;983744
"..Junho/2015";906938;66404;973342
"..Julho/2015";918642;67916;986558
"..Agosto/2015";902634;68780;971414
"..Setembro/2015";888287;66906;955193
"..Outubro/2015";884861;66751;951612
"..Novembro/2015";863647;66212;929859
"..Dezembro/2015";833506;63217;896723
"2016";10494861;802207;11297068
"..Janeiro/2016";838772;60691;899463
"..Fevereiro/2016";844102;61230;905332
"..Março/2016";896283;66363;962646
"..Abril/2016";899524;64994;964518
"..Maio/2016";905545;67097;972642
"..Junho/2016";908040;68918;976958
"..Julho/2016";897521;70191;967712
"..Agosto/2016";912536;70873;983409
"..Setembro/2016";877666;67658;945324
"..Outubro/2016";859910;69090;929000
"..Novembro/2016";834173;67264;901437
"..Dezembro/2016";820789;67838;888627
"2017";10628699;841162;11469861
"..Janeiro/2017";829323;65177;894500
"..Fevereiro/2017";809704;63482;873186
"..Março/2017";899295;68871;968166
"..Abril/2017";865114;65887;931001
"..Maio/2017";928565;72911;1001476
"..Junho/2017";904518;69656;974174
"..Julho/2017";908841;72041;980882
"..Agosto/2017";920425;74979;995404
"..Setembro/2017";901237;72752;973989
"..Outubro/2017";905671;72596;978267
"..Novembro/2017";886952;72263;959215
"..Dezembro/2017";869054;70547;939601
"2018";10937754;878887;11816641
"..Janeiro/2018";883747;69470;953217
"..Fevereiro/2018";847140;66919;914059
"..Março/2018";921056;73166;994222
"..Abril/2018";932529;73742;1006271
"..Maio/2018";945557;72848;1018405
"..Junho/2018";924404;72937;997341
"..Julho/2018";939888;74256;1014144
"..Agosto/2018";943313;77016;1020329
"..Setembro/2018";914004;75060;989064
"..Outubro/2018";931137;76367;1007504
"..Novembro/2018";893736;75001;968737
"..Dezembro/2018";861243;72105;933348
"2019";11250588;931138;12181726
"..Janeiro/2019";908143;73020;981163
"..Fevereiro/2019";875577;72275;947852
"..Março/2019";924180;73036;997216
"..Abril/2019";941453;75026;1016479
"..Maio/2019";984868;79149;1064017
"..Junho/2019";941384;76289;1017673
"..Julho/2019";970115;80776;1050891
"..Agosto/2019";974786;82840;1057626
"..Setembro/2019";949544;79850;1029394
"..Outubro/2019";969599;83263;1052862
"..Novembro/2019";918981;80334;999315
"..Dezembro/2019";891958;75280;967238
"2020";9756341;777422;10533763
"..Janeiro/2020";924709;76286;1000995
"..Fevereiro/2020";891761;75526;967287
"..Março/2020";882604;73829;956433
"..Abril/2020";718518;56771;775289
"..Maio/2020";731571;55053;786624
"..Junho/2020";737504;54393;791897
"..Julho/2020";789275;58849;848124
"..Agosto/2020";797672;61246;858918
"..Setembro/2020";803872;63096;866968
"..Outubro/2020";840667;67701;908368
"..Novembro/2020";832621;69206;901827
"..Dezembro/2020";805567;65466;871033
"Total";116579039;8347308;124926347
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
