 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano processamento
Período:2010-2020
"Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"11 Rondônia";100265;98808;94517;107322;116066;111558;111299;113432;119878;122900;104567;1200612
"12 Acre";49687;52218;51027;51513;52733;49199;48391;44002;44611;44563;43071;531015
"13 Amazonas";160880;167585;164109;167015;152568;168896;166305;175069;184790;196792;179730;1883739
"14 Roraima";31199;27269;32082;33884;30329;34834;40269;43658;43745;44672;39561;401502
"15 Pará";528520;511097;487950;498765;490632;471753;463631;480382;493920;484950;433599;5345199
"16 Amapá";36584;37015;38382;38215;36849;34652;32653;33608;38012;40876;31973;398819
"17 Tocantins";104039;107184;105564;105152;102788;82858;78529;76420;68011;81159;77103;988807
"21 Maranhão";396170;404317;393539;408828;415665;423439;405325;434037;466899;461473;390148;4599840
"22 Piauí";236534;226677;216407;219884;208979;210171;217161;209821;216767;219187;180596;2362184
"23 Ceará";489136;482239;446055;464878;479365;478707;471118;469258;499463;525966;452686;5258871
"24 Rio Grande do Norte";172761;170954;162933;162820;158346;160249;157770;161793;172367;182974;164321;1827288
"25 Paraíba";235608;212369;197425;197650;191084;179866;176365;183532;183311;188246;156496;2101952
"26 Pernambuco";517767;527844;526687;535716;540616;532148;535647;556817;559226;579057;486246;5897771
"27 Alagoas";179644;179336;165934;166864;157005;166343;168501;171817;172327;171660;145032;1844463
"28 Sergipe";93575;90741;91605;89071;88569;95148;94334;91872;94259;94355;86109;1009638
"29 Bahia";890115;872513;844379;806999;819507;830377;799999;793396;819187;842569;701485;9020526
"31 Minas Gerais";1129845;1150138;1157007;1180606;1223629;1202583;1182982;1187911;1236742;1283580;1105777;13040800
"32 Espírito Santo";194424;211434;212876;211714;221146;227891;232395;241093;242267;246301;225840;2467381
"33 Rio de Janeiro";666471;657720;629744;618799;635657;678482;639101;656151;700376;730779;656950;7270230
"35 São Paulo";2351919;2363232;2333218;2337825;2372545;2381371;2393286;2417180;2465311;2537199;2202047;26155133
"41 Paraná";778787;762982;765036;749755;751930;758953;793912;828899;869464;879614;736936;8676268
"42 Santa Catarina";387083;399178;404281;415552;441783;452952;466898;469868;488185;510756;423233;4859769
"43 Rio Grande do Sul";725490;699817;719605;741882;759693;770416;750868;750611;741387;767093;671598;8098460
"50 Mato Grosso do Sul";164050;156357;154068;164672;161552;164119;163198;163616;167575;177302;154834;1791343
"51 Mato Grosso";181009;174177;182482;184513;185150;187635;192471;189403;190111;195153;167977;2030081
"52 Goiás";371616;355192;330383;348103;349728;351023;328457;329738;326510;342936;303305;3736991
"53 Distrito Federal";184787;183178;185294;189163;176373;172093;186203;196477;211940;229614;212543;2127665
"Total";11357965;11281571;11092589;11197160;11320287;11377716;11297068;11469861;11816641;12181726;10533763;124926347
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
