 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2013
"Unidade da Federação";"População_residente"
"11 Rondônia";1657620
"12 Acre";805014
"13 Amazonas";3751293
"14 Roraima";491066
"15 Pará";8054419
"16 Amapá";744809
"17 Tocantins";1467474
"21 Maranhão";6836179
"22 Piauí";3221407
"23 Ceará";8791846
"24 Rio Grande do Norte";3332952
"25 Paraíba";3890494
"26 Pernambuco";9189504
"27 Alagoas";3247527
"28 Sergipe";2173632
"29 Bahia";14505033
"31 Minas Gerais";20371328
"32 Espírito Santo";3736386
"33 Rio de Janeiro";16616344
"35 São Paulo";43528708
"41 Paraná";10908262
"42 Santa Catarina";6620186
"43 Rio Grande do Sul";11066527
"50 Mato Grosso do Sul";2589069
"51 Mato Grosso";3226030
"52 Goiás";6417591
"53 Distrito Federal";2763488
"Total";200004188
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

