 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano processamento
Período:2010-2020
"Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"11 Rondônia";51784823,62;54267636,35;51181258,99;66472516,81;79095836,74;86163443,56;91955338,88;95261076,71;102091843,39;109113101,49;110009790,09;897396666,63
"12 Acre";28773343,06;33510058,61;32929373,49;33605893,87;36039320,36;37262018,93;40487149,58;37245525,42;34432565,81;34709598,96;40018213,54;389013061,63
"13 Amazonas";114040833,27;121643071,13;124449598,86;129056584,80;121900696,54;151278739,06;147812237,69;160820207,41;175744827,43;189256198,89;210298047,43;1646301042,51
"14 Roraima";20249589,01;17108611,37;21279908,04;21540894,01;19757952,27;24556486,66;29133807,87;31338348,90;33851454,13;34320141,86;36868427,83;290005621,95
"15 Pará";320749087,16;321149377,64;315536309,93;340687749,39;342851637,96;353977050,33;357148898,98;388952636,23;410173716,47;410805540,79;447222369,54;4009254374,42
"16 Amapá";20736476,68;22010050,32;23197926,19;24101437,86;23354262,75;22053145,67;21916972,06;22366616,97;25843955,47;29370406,98;27872333,42;262823584,37
"17 Tocantins";80513033,67;83269998,85;86534591,54;89125614,87;88436272,97;78227511,70;78034121,80;72772161,78;62982094,00;82314133,11;92885843,76;895095378,05
"21 Maranhão";237304510,94;247828815,64;260168410,88;287730036,64;301805294,56;311541016,04;307485045,93;333689604,72;351572006,86;366407811,12;375770394,56;3381302947,89
"22 Piauí";148868247,30;148248542,98;150000009,87;165825709,14;164802466,18;174857185,86;188677491,61;186604619,98;195934078,96;206820114,53;216330597,70;1946969064,11
"23 Ceará";411994714,69;420071589,40;426195922,41;477905999,53;510177372,22;527062987,37;540114355,29;551317375,87;573956797,72;607937295,27;636456940,38;5683191350,15
"24 Rio Grande do Norte";160171603,46;170233207,77;172064943,34;184889611,50;193227602,99;210853738,06;212854443,28;218447439,60;240919860,46;266652744,15;283179937,57;2313495132,18
"25 Paraíba";191712150,93;183856643,96;180091112,57;196189793,35;194470103,49;189634905,54;192764395,74;208882120,74;218267536,76;232234991,55;227946551,21;2216050305,84
"26 Pernambuco";457833056,84;506152167,44;541989486,37;645113247,98;703527971,01;717003467,19;733193554,40;792199747,81;800658730,01;819736634,40;815500526,23;7532908589,68
"27 Alagoas";142837203,93;152529100,85;148620456,33;169991894,11;163585154,41;177761701,65;177582559,02;191840311,19;201009115,58;204786689,26;205569621,04;1936113807,37
"28 Sergipe";78521040,22;78823673,85;83200215,20;86017057,89;83949080,41;96666330,17;102263264,46;99807105,65;107312506,79;117487663,63;120241590,98;1054289529,25
"29 Bahia";616650968,67;646488530,95;673849510,16;712401313,44;757704806,91;785597108,46;810137241,08;821240562,79;845519121,44;879675393,50;914530938,68;8463795496,08
"31 Minas Gerais";1223766111,25;1321731004,61;1402515081,39;1517973272,78;1658840666,80;1674939603,04;1657939988,05;1718544163,79;1790290126,08;1889157110,44;1897993006,70;17753690134,93
"32 Espírito Santo";185140019,93;207275860,71;220412665,91;238504840,47;253097937,91;267235078,66;296978830,46;309155832,58;303425629,23;319947622,99;371274019,30;2972448338,15
"33 Rio de Janeiro";668249294,60;684603494,29;689807509,04;718419831,03;765976172,49;814738275,82;790282302,29;853543221,39;918095799,51;976876703,73;1032894622,93;8913487227,12
"35 São Paulo";2728176826,60;2888084692,86;2928498621,81;3137331779,16;3268008800,52;3285221792,79;3305056173,67;3361179945,39;3442007311,77;3567637040,10;3806208857,72;35717411842,39
"41 Paraná";855480910,05;918922472,81;951800112,02;1020930795,65;1063177083,80;1116764284,11;1224621412,80;1333212214,45;1453914663,28;1493484390,79;1406025913,08;12838334252,84
"42 Santa Catarina";444376400,13;482941267,30;507951182,58;573083638,11;626008038,37;649716373,14;663853492,72;676676323,29;711391945,08;759243377,08;758021988,83;6853264026,63
"43 Rio Grande do Sul";794705313,89;807062262,56;846224368,71;970603274,07;1025980732,27;1076735540,93;1046635638,70;1053347905,55;1074036199,48;1131618227,23;1186359968,71;11013309432,10
"50 Mato Grosso do Sul";145562194,66;149057896,87;152577852,42;168376595,75;174087791,31;186415626,22;190977047,16;194544177,74;201939866,02;218562922,14;228663966,41;2010765936,70
"51 Mato Grosso";144501072,57;141447394,72;149618209,33;156755385,20;164696707,99;173915288,36;181948081,80;185882129,14;190680812,60;189645101,04;205331624,93;1884421807,68
"52 Goiás";302067940,05;329396993,24;336047814,62;378866106,13;400943736,86;420280242,13;410610981,83;414555691,08;407220316,61;438382657,52;471881535,83;4310254015,90
"53 Distrito Federal";165987601,30;170698048,11;179378869,77;186859044,16;184904125,57;177523900,39;200638650,79;205151092,15;233115326,12;239866880,34;265391022,65;2209514561,35
"Total";10740754368,48;11308412465,19;11656121321,77;12698359917,70;13370407625,66;13787982841,84;14001103477,94;14518578158,32;15106388207,06;15816050492,89;16390748651,05;149394907527,90
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
